Timestamp,MainIncoming_kW,CHWRT,CWRT,CHWST,CWST,CHW Flow,CDW Flow,heat_in,heat_out,lift,chwdt,cwdt,DemoSite Demo avgHum,DemoSite Demo avgTemp,DemoSite Demo Calculated Wet Bulb
2023-05-31T06:00:00+08:00 Singapore,41.86462326049805kW,9.233807055155436°C,28.124300130208333°C,7.964570109049479°C,26.806388346354165°C,37.249898529052736L/s,40.76810099283854L/s,19.213846994583953_RT,42.08877645804058_RT,20.159730021158854Δ°C,1.2692369461059574Δ°C,1.3179117838541679Δ°C,82%RH,28°C,25.500065426147007°C
2023-05-31T06:15:00+08:00 Singapore,27.204413096110027kW,10.282358042399089°C,27.3650146484375°C,9.06901346842448°C,26.66806844075521°C,37.318861897786455L/s,40.78844324747721L/s,16.088893441573052_RT,22.14279681703834_RT,18.296001180013022Δ°C,1.2133445739746094Δ°C,0.6969462076822914Δ°C,81.75%RH,28°C,25.463835421477896°C
2023-05-31T06:30:00+08:00 Singapore,58.691646575927734kW,11.330729675292968°C,29.174951171875°C,8.951361083984375°C,27.023114013671876°C,37.35045420328776L/s,40.80686721801758L/s,37.314506385526236_RT,69.27658180957094_RT,20.223590087890628Δ°C,2.3793685913085927Δ°C,2.1518371582031257Δ°C,81.5%RH,28°C,25.427584322784686°C
2023-05-31T06:45:00+08:00 Singapore,52.9057373046875kW,10.985339864095051°C,29.15240478515625°C,8.860813395182292°C,27.184175618489583°C,37.361626942952476L/s,40.76541417439778L/s,32.7537538564634_RT,63.743144693767235_RT,20.29159138997396Δ°C,2.1245264689127588Δ°C,1.9682291666666671Δ°C,81.25%RH,28°C,25.391311886644512°C
2023-05-31T07:00:00+08:00 Singapore,59.411730448404946kW,11.429757881164551°C,29.75119832356771°C,8.858245849609375°C,27.41666259765625°C,37.51457799275716L/s,40.79228057861328L/s,39.2867213258028_RT,76.25297047445525_RT,20.892952473958335Δ°C,2.5715120315551765Δ°C,2.3345357259114614Δ°C,81%RH,28°C,25.355017867546064°C
2023-05-31T07:15:00+08:00 Singapore,58.68009999593099kW,11.252049700419109°C,29.833479817708334°C,8.804480997721354°C,27.62228800455729°C,37.480289967854816L/s,40.776928965250654L/s,37.646790632731616_RT,72.76586921608845_RT,21.02899881998698Δ°C,2.4475687026977546Δ°C,2.211191813151043Δ°C,80.5%RH,28°C,25.282364087849963°C
2023-05-31T07:30:00+08:00 Singapore,58.00670700073242kW,11.148470242818197°C,29.6287841796875°C,8.84126485188802°C,27.424428304036457°C,37.52151336669922L/s,40.758889770507814L/s,36.08181691129489_RT,72.02129843914845_RT,20.78751932779948Δ°C,2.307205390930177Δ°C,2.204355875651043Δ°C,80%RH,28°C,25.209620976963805°C
2023-05-31T07:45:00+08:00 Singapore,58.89674606323242kW,11.280527623494466°C,29.68623250325521°C,8.864674886067709°C,27.585797119140626°C,37.370872497558594L/s,40.798039245605466L/s,37.545080672456564_RT,69.02978461817621_RT,20.8215576171875Δ°C,2.415852737426757Δ°C,2.100435384114583Δ°C,79.5%RH,28°C,25.13678649324946°C
2023-05-31T08:00:00+08:00 Singapore,58.14392852783203kW,11.275865364074708°C,29.909832763671876°C,8.866727701822917°C,27.693135579427082°C,37.30075403849284L/s,40.80533116658528L/s,37.29915837441651_RT,73.13413955730684_RT,21.04310506184896Δ°C,2.4091376622517906Δ°C,2.2166971842447936Δ°C,79%RH,28°C,25.063858559388002°C
2023-05-31T08:15:00+08:00 Singapore,62.31615626017253kW,11.263301531473795°C,30.349051920572915°C,8.864156087239584°C,28.113704427083334°C,37.385128529866535L/s,40.83104705810547L/s,38.3355523284733_RT,74.86947274741836_RT,21.484895833333333Δ°C,2.399145444234211Δ°C,2.2353474934895807Δ°C,78%RH,28.25°C,25.15637590927941°C
2023-05-31T08:30:00+08:00 Singapore,64.75702540079753kW,11.576743125915527°C,30.72981974283854°C,8.807825724283854°C,28.5007080078125°C,37.42404047648112L/s,40.79496841430664L/s,42.76532728057177_RT,75.68836810225973_RT,21.921994018554685Δ°C,2.7689174016316738Δ°C,2.2291117350260414Δ°C,77%RH,28.5°C,25.24711893486076°C
2023-05-31T08:45:00+08:00 Singapore,68.55091400146485kW,11.57540651957194°C,30.98765665690104°C,8.761280314127605°C,28.462396240234376°C,37.481058247884114L/s,40.76272735595703L/s,44.167916475352335_RT,85.62868730386229_RT,22.226376342773435Δ°C,2.8141262054443352Δ°C,2.525260416666665Δ°C,76%RH,28.75°C,25.33604135058499°C
2023-05-31T09:00:00+08:00 Singapore,67.14368845621745kW,11.417164675394694°C,30.745613606770835°C,8.805514526367187°C,28.373162841796876°C,37.45486145019531L/s,40.79496815999349L/s,41.78974007288474_RT,80.19487478358533_RT,21.940099080403648Δ°C,2.6116501490275077Δ°C,2.3724507649739586Δ°C,75%RH,29°C,25.42309533156935°C
2023-05-31T09:15:00+08:00 Singapore,65.17019500732422kW,11.461384137471518°C,30.194287109375°C,8.834061686197916°C,27.937296549479168°C,37.503790791829424L/s,40.813008371988936L/s,41.46654585092606_RT,75.1200338627139_RT,21.360225423177084Δ°C,2.627322451273601Δ°C,2.256990559895833Δ°C,73.75%RH,29.25°C,25.470291281326002°C
2023-05-31T09:30:00+08:00 Singapore,68.18769836425781kW,11.600681114196778°C,30.366902669270832°C,8.803712972005208°C,27.91401570638021°C,37.580074055989584L/s,40.79496815999349L/s,44.010132821421706_RT,81.57207467215133_RT,21.563189697265624Δ°C,2.79696814219157Δ°C,2.4528869628906236Δ°C,72.5%RH,29.5°C,25.514846646900523°C
2023-05-31T09:45:00+08:00 Singapore,70.55357716878255kW,11.540033594767253°C,30.622652180989583°C,8.785970052083334°C,28.04359334309896°C,37.68024520874023L/s,40.80878575642904L/s,44.1849941891812_RT,86.16612559280323_RT,21.836682128906247Δ°C,2.7540635426839195Δ°C,2.5790588378906243Δ°C,71.25%RH,29.75°C,25.55666913260162°C
2023-05-31T10:00:00+08:00 Singapore,68.5084004720052kW,11.609555753072103°C,30.614105224609375°C,8.793425496419271°C,27.805379231770832°C,37.51689020792643L/s,40.84831949869792L/s,44.27704521495265_RT,93.0421742735122_RT,21.820679728190104Δ°C,2.8161302566528317Δ°C,2.808725992838543Δ°C,70%RH,30°C,25.59566236334207°C
2023-05-31T10:15:00+08:00 Singapore,68.03388061523438kW,11.528833707173666°C,30.540069580078125°C,8.796767171223959°C,27.862552897135416°C,37.45717290242513L/s,40.84448089599609L/s,43.27844206014128_RT,88.8780967830513_RT,21.743302408854166Δ°C,2.7320665359497074Δ°C,2.6775166829427093Δ°C,69.5%RH,30.25°C,25.749946561450127°C
